codim: 5, face: 29/104, weights: [-2, 0, -2, 0, 0, 1], discriminant: 1
codim: 5, face: 30/104, weights: [-2, -1, -2, -2, -2, 0], discriminant: 1
codim: 5, face: 31/104, weights: [-2, -1, -1, 0, -2, -1], discriminant: 1
codim: 5, face: 32/104, weights: [-1, 0, 0, 1, -1, 1], discriminant: 1
codim: 5, face: 33/104, weights: [-2, -3, -3, -1, -2, -1], discriminant: 1
codim: 5, face: 34/104, weights: [-1, -2, -2, 0, -1, 1], discriminant: 1
codim: 5, face: 35/104, weights: [-1, -1, -2, -1, -2, -1], discriminant: 1
codim: 5, face: 36/104, weights: [0, 0, -1, 0, -1, 1], discriminant: 1
codim: 5, face: 37/104, weights: [-2, 1, -1, 1, 2, 0], discriminant: 1
codim: 5, face: 38/104, weights: [-2, 1, -1, -1, 1, -2], discriminant: m1
codim: 5, face: 39/104, weights: [-2, 1, 0, 1, 0, -2], discriminant: m1
codim: 5, face: 40/104, weights: [-2, -2, -3, -1, 0, -2], discriminant: 1
codim: 5, face: 41/104, weights: [-1, 0, -2, -1, -1, -2], discriminant: 1
codim: 5, face: 42/104, weights: [0, 2, 0, 1, 2, -1], discriminant: 1
codim: 5, face: 43/104, weights: [0, 3, 1, 1, 3, 2], discriminant: 1
codim: 5, face: 44/104, weights: [0, 3, 2, 3, 2, 2], discriminant: 1
codim: 5, face: 45/104, weights: [0, 0, -1, 1, 2, 2], discriminant: 1
codim: 5, face: 46/104, weights: [1, 2, 0, 1, 1, 2], discriminant: 1
codim: 5, face: 47/104, weights: [1, 3, 1, 2, 3, 1], discriminant: 1
codim: 5, face: 48/104, weights: [-2, 0, -1, -3, -2, -2], discriminant: 1
codim: 5, face: 49/104, weights: [-1, 1, 0, -1, 0, 1], discriminant: 1
codim: 5, face: 50/104, weights: [-2, -1, 0, -2, -3, -2], discriminant: 1
codim: 5, face: 51/104, weights: [-1, 0, 1, 0, -1, 1], discriminant: 1
codim: 5, face: 52/104, weights: [-1, -2, -1, -3, -3, -2], discriminant: 1
codim: 5, face: 53/104, weights: [-1, -1, -2, -3, -3, -2], discriminant: 1
codim: 5, face: 54/104, weights: [0, 0, 0, -2, -2, 0], discriminant: 1
codim: 5, face: 55/104, weights: [-1, 2, 1, 0, 2, 0], discriminant: 1
codim: 5, face: 56/104, weights: [-2, 1, 1, -1, -1, -3], discriminant: m1
codim: 5, face: 57/104, weights: [-1, -1, -1, -3, -1, -3], discriminant: 1
codim: 5, face: 58/104, weights: [-1, 0, -2, -3, -2, -3], discriminant: 1
codim: 5, face: 59/104, weights: [0, 2, 1, -1, 1, -2], discriminant: 1
codim: 5, face: 60/104, weights: [0, 3, 3, 2, 2, 2], discriminant: 1
codim: 5, face: 61/104, weights: [1, 1, 1, 0, 2, 2], discriminant: 1
codim: 5, face: 62/104, weights: [1, 2, 1, 0, 1, 2], discriminant: 1
codim: 5, face: 63/104, weights: [1, 3, 2, 1, 3, 1], discriminant: 1
codim: 5, face: 64/104, weights: [-1, 1, 2, 2, 0, 0], discriminant: 1
codim: 5, face: 65/104, weights: [-1, -2, 0, -2, -3, -3], discriminant: 1
codim: 5, face: 66/104, weights: [-1, -1, -1, -1, -3, -3], discriminant: 1
codim: 5, face: 67/104, weights: [0, 1, 2, 1, -1, -2], discriminant: 1
codim: 5, face: 68/104, weights: [1, 1, 1, 2, 0, 2], discriminant: 1
codim: 5, face: 69/104, weights: [1, 1, 2, 1, 0, 2], discriminant: 1
codim: 5, face: 70/104, weights: [1, 2, 3, 3, 1, 1], discriminant: 1
codim: 5, face: 71/104, weights: [0, -2, -2, 0, 0, 0], discriminant: 1
codim: 5, face: 72/104, weights: [0, -2, -2, -2, -1, -2], discriminant: 1
codim: 5, face: 73/104, weights: [1, -1, 0, 1, 0, -1], discriminant: 1
codim: 5, face: 74/104, weights: [0, -2, -2, -1, -2, -2], discriminant: 1
codim: 5, face: 75/104, weights: [1, 0, -1, 0, 1, -1], discriminant: 1
codim: 5, face: 76/104, weights: [2, 0, 0, 0, 1, 2], discriminant: 1
codim: 5, face: 77/104, weights: [2, 0, 1, 2, 1, 1], discriminant: 1
codim: 5, face: 78/104, weights: [2, 0, 0, 1, 0, 2], discriminant: 1
codim: 5, face: 79/104, weights: [2, 1, 0, 1, 2, 1], discriminant: 1
codim: 5, face: 80/104, weights: [1, -1, 0, -1, 0, 0], discriminant: 1
codim: 5, face: 81/104, weights: [1, -1, 1, 0, 0, -1], discriminant: 1
codim: 5, face: 82/104, weights: [0, -2, -2, -3, -3, -3], discriminant: 1
codim: 5, face: 83/104, weights: [1, -1, 0, -2, -2, -1], discriminant: 1
codim: 5, face: 84/104, weights: [1, 0, 0, -2, 0, -2], discriminant: 1
codim: 5, face: 85/104, weights: [1, -1, 1, -1, -2, -2], discriminant: 1
codim: 5, face: 86/104, weights: [2, 0, 2, 1, 1, 1], discriminant: 1
codim: 5, face: 87/104, weights: [2, 0, 1, 0, 0, 2], discriminant: 1
codim: 5, face: 88/104, weights: [2, 1, 1, 0, 2, 1], discriminant: 1
codim: 5, face: 89/104, weights: [2, 2, 2, 3, 3, 0], discriminant: 1
codim: 5, face: 90/104, weights: [2, 2, 3, 2, 3, 0], discriminant: 1
codim: 5, face: 91/104, weights: [2, 1, 3, 3, 1, 0], discriminant: 1
codim: 5, face: 92/104, weights: [1, 0, -1, 0, -1, 0], discriminant: 1
codim: 5, face: 93/104, weights: [1, 1, -1, 0, 0, -1], discriminant: 1
codim: 5, face: 94/104, weights: [1, 0, -1, -2, -2, -1], discriminant: 1
codim: 5, face: 95/104, weights: [1, 1, -1, -2, -1, -2], discriminant: 1
codim: 5, face: 96/104, weights: [1, 0, 0, 0, -2, -2], discriminant: 1
codim: 5, face: 97/104, weights: [2, 2, 0, 1, 1, 1], discriminant: 1
codim: 5, face: 98/104, weights: [2, 1, 0, 0, 0, 2], discriminant: 1
codim: 5, face: 99/104, weights: [2, 1, 1, 2, 0, 1], discriminant: 1
