codim: 5, face: 51/113, weights: [0, 2, -1, 2, 2, 0], discriminant: 1
codim: 5, face: 52/113, weights: [0, 2, 2, -1, 0, 0], discriminant: 1
codim: 5, face: 53/113, weights: [-2, 1, 0, -2, -2, -3], discriminant: 1
codim: 5, face: 54/113, weights: [-1, 2, 1, 0, 1, -2], discriminant: 1
codim: 5, face: 55/113, weights: [0, 0, 1, -2, -1, -2], discriminant: s45
codim: 5, face: 56/113, weights: [-1, 1, -1, -2, -1, -3], discriminant: s45
codim: 5, face: 57/113, weights: [1, 3, 4, 1, 1, 3], discriminant: 1
codim: 5, face: 58/113, weights: [1, 3, 4, 2, 3, 2], discriminant: 1
codim: 5, face: 59/113, weights: [2, 2, 4, 1, 2, 3], discriminant: 1
codim: 5, face: 60/113, weights: [2, 3, 2, 0, 1, 2], discriminant: 1
codim: 5, face: 61/113, weights: [0, 2, 2, 0, -1, 0], discriminant: 1
codim: 5, face: 62/113, weights: [-1, 2, 1, 1, 0, -2], discriminant: 1
codim: 5, face: 63/113, weights: [0, 0, 1, -1, -2, -2], discriminant: m5
codim: 5, face: 64/113, weights: [-1, 1, -1, -1, -2, -3], discriminant: m5
codim: 5, face: 65/113, weights: [1, 3, 4, 3, 2, 2], discriminant: 1
codim: 5, face: 66/113, weights: [2, 2, 4, 2, 1, 3], discriminant: 1
codim: 5, face: 67/113, weights: [2, 3, 2, 1, 0, 2], discriminant: 1
codim: 5, face: 68/113, weights: [2, 2, 4, 3, 3, 1], discriminant: 1
codim: 5, face: 69/113, weights: [1, 3, 1, 2, 2, -1], discriminant: 1
codim: 5, face: 70/113, weights: [0, -3, -3, -1, -1, -1], discriminant: 1
codim: 5, face: 71/113, weights: [1, -2, -2, 0, 0, 1], discriminant: 1
codim: 5, face: 72/113, weights: [0, -3, -2, -3, -2, -1], discriminant: 1
codim: 5, face: 73/113, weights: [1, -2, -1, -2, -1, 1], discriminant: 1
codim: 5, face: 74/113, weights: [0, -2, -1, -1, -2, -1], discriminant: 1
codim: 5, face: 75/113, weights: [1, -1, 0, 0, -1, 1], discriminant: 1
codim: 5, face: 76/113, weights: [0, -2, -3, -3, -2, -1], discriminant: 1
codim: 5, face: 77/113, weights: [1, -1, -2, -2, -1, 1], discriminant: 1
codim: 5, face: 78/113, weights: [0, -1, -2, -1, -2, -1], discriminant: 1
codim: 5, face: 79/113, weights: [1, 0, -1, 0, -1, 1], discriminant: 1
codim: 5, face: 80/113, weights: [1, -2, -2, 0, 1, 0], discriminant: 1
codim: 5, face: 81/113, weights: [0, -3, -2, -2, 0, -2], discriminant: 1
codim: 5, face: 82/113, weights: [0, -2, -1, 0, -1, -2], discriminant: 1
codim: 5, face: 83/113, weights: [1, -1, 0, 1, 1, -1], discriminant: 1
codim: 5, face: 84/113, weights: [-1, -2, -4, -2, 0, -3], discriminant: 1
