codim: 5, face: 61/69, weights: [2, 2, 0, 0, 2, 2], discriminant: 1
codim: 5, face: 62/69, weights: [2, 2, 1, 2, 1, 2], discriminant: 1
codim: 5, face: 63/69, weights: [2, 2, 1, 2, 2, 1], discriminant: 1
codim: 5, face: 64/69, weights: [1, 1, 0, -2, 0, 0], discriminant: 1
codim: 5, face: 65/69, weights: [1, 1, 1, -1, -2, -1], discriminant: 1
codim: 5, face: 66/69, weights: [0, 1, 1, 0, 0, -2], discriminant: 1
codim: 5, face: 67/69, weights: [2, 2, 2, 0, 0, 2], discriminant: 1
codim: 5, face: 68/69, weights: [2, 2, 2, 1, 2, 1], discriminant: 1
codim: 5, face: 69/69, weights: [2, 2, 2, 2, 0, 0], discriminant: 1
codim: 4, face: 1/136, weights: [-3, -1, -1, -1, -1, -1], discriminant: 1
codim: 4, face: 2/136, weights: [-2, 0, 0, 0, 1, 0], discriminant: 1
codim: 4, face: 3/136, weights: [-2, -2, -2, -2, 0, 0], discriminant: 1
codim: 4, face: 4/136, weights: [-3, -2, -1, -1, 0, -2], discriminant: 1
codim: 4, face: 5/136, weights: [-1, 0, -2, -2, -1, 0], discriminant: 1
codim: 4, face: 6/136, weights: [-2, 0, -2, -2, 0, -2], discriminant: s123*s234 - s23*s56
codim: 4, face: 7/136, weights: [0, 1, -1, -1, 1, 1], discriminant: s23 - s234
codim: 4, face: 8/136, weights: [-2, 0, 0, 1, 0, 0], discriminant: 1
codim: 4, face: 9/136, weights: [-2, -2, -1, 0, -1, 0], discriminant: 1
codim: 4, face: 10/136, weights: [-3, -2, -1, 0, -1, -2], discriminant: 1
codim: 4, face: 11/136, weights: [-1, 0, -1, 0, -1, 0], discriminant: 1
codim: 4, face: 12/136, weights: [-2, 0, -1, 0, -1, -2], discriminant: 1
codim: 4, face: 13/136, weights: [-2, -1, 0, 1, 1, -1], discriminant: 1
codim: 4, face: 14/136, weights: [-1, -1, 0, 1, 1, 1], discriminant: 1
codim: 4, face: 15/136, weights: [-1, 1, 0, 1, 1, -1], discriminant: s123 - s23
codim: 4, face: 16/136, weights: [0, 1, 0, 1, 1, 1], discriminant: 1
codim: 4, face: 17/136, weights: [-2, -3, -2, -1, -1, 0], discriminant: 1
codim: 4, face: 18/136, weights: [-2, -3, -2, -1, 0, -1], discriminant: 1
codim: 4, face: 19/136, weights: [-1, -2, -1, 0, 1, 1], discriminant: 1
codim: 4, face: 20/136, weights: [-1, -2, -3, -2, -1, 0], discriminant: 1
codim: 4, face: 21/136, weights: [-1, -2, -3, -2, 0, -1], discriminant: 1
codim: 4, face: 22/136, weights: [0, -1, -2, -1, 1, 1], discriminant: 1
codim: 4, face: 23/136, weights: [-2, -3, -2, 0, -1, -1], discriminant: 1
codim: 4, face: 24/136, weights: [-1, -2, -1, 1, 0, 1], discriminant: 1
codim: 4, face: 25/136, weights: [-1, -2, -2, 0, -1, 0], discriminant: 1
codim: 4, face: 26/136, weights: [-1, -2, -1, 1, 1, 0], discriminant: 1
codim: 4, face: 27/136, weights: [-2, -2, -2, 0, 0, -2], discriminant: 1
codim: 4, face: 28/136, weights: [0, -1, -1, 1, 1, 1], discriminant: 1
codim: 4, face: 29/136, weights: [-1, -1, -3, -1, -1, -1], discriminant: 1
codim: 4, face: 30/136, weights: [0, 0, -2, 0, 0, 1], discriminant: 1
codim: 4, face: 31/136, weights: [0, 0, -2, 0, 1, 0], discriminant: 1
codim: 4, face: 32/136, weights: [-2, 0, 1, 0, 0, 0], discriminant: 1
codim: 4, face: 33/136, weights: [-2, -2, 0, -2, -2, 0], discriminant: s234*s345 - s34*s61
codim: 4, face: 34/136, weights: [-3, -2, 0, -1, -1, -2], discriminant: 1
codim: 4, face: 35/136, weights: [-1, 0, -1, -2, -2, 0], discriminant: 1
codim: 4, face: 36/136, weights: [-2, 0, 0, -2, -2, -2], discriminant: 1
codim: 4, face: 37/136, weights: [0, 1, 1, -1, -1, 1], discriminant: s234 - s61
codim: 4, face: 38/136, weights: [-1, -1, 1, 0, 1, 1], discriminant: s234 - s34
codim: 4, face: 39/136, weights: [-2, -1, 1, 0, 1, -1], discriminant: 1
codim: 4, face: 40/136, weights: [-1, 1, 1, 0, 1, -1], discriminant: s234 - s56
codim: 4, face: 41/136, weights: [0, 1, 1, 0, 1, 1], discriminant: 1
codim: 4, face: 42/136, weights: [-2, -2, 0, -1, 0, -1], discriminant: 1
codim: 4, face: 43/136, weights: [-1, -1, -2, -3, -2, 0], discriminant: 1
codim: 4, face: 44/136, weights: [-1, -1, -1, -3, -1, -1], discriminant: 1
codim: 4, face: 45/136, weights: [0, 0, 0, -2, 0, 1], discriminant: 1
codim: 4, face: 46/136, weights: [-2, -1, 0, -1, 0, -2], discriminant: 1
codim: 4, face: 47/136, weights: [-1, 0, -2, -3, -2, -1], discriminant: 1
codim: 4, face: 48/136, weights: [0, 1, -1, -2, -1, 1], discriminant: 1
codim: 4, face: 49/136, weights: [0, 1, 0, -2, 0, 0], discriminant: 1
codim: 4, face: 50/136, weights: [-1, -1, 1, 1, 0, 1], discriminant: s345 - s61
codim: 4, face: 51/136, weights: [-2, -1, 1, 1, 0, -1], discriminant: 1
codim: 4, face: 52/136, weights: [0, 1, 1, 1, 0, 1], discriminant: 1
