codim: 3, face: 275/421, weights: [1, 3, 2, 2, 1, 1, 2], discriminant: 1
codim: 3, face: 276/421, weights: [1, 2, 1, 1, 1, 2, 1], discriminant: 1
codim: 3, face: 277/421, weights: [1, 2, 1, 1, 2, 1, 1], discriminant: 1
codim: 3, face: 278/421, weights: [2, 2, 1, 1, 2, 2, 2], discriminant: 1
codim: 3, face: 279/421, weights: [1, 2, 1, 2, 1, 1, 1], discriminant: 1
codim: 3, face: 280/421, weights: [-1, 1, 1, 0, 0, 0, 0], discriminant: t
codim: 3, face: 281/421, weights: [0, 1, 1, -1, 0, 0, 0], discriminant: m1^2 - 2*m1*m4 - 2*m1*t + m4^2 - 2*m4*t + t^2
codim: 3, face: 282/421, weights: [-1, 0, 0, -1, -1, -1, -1], discriminant: m1
codim: 3, face: 283/421, weights: [0, 2, 2, 1, 0, 0, 1], discriminant: m1^2 - 2*m1*m4 - 2*m1*t + m4^2 - 2*m4*t + t^2
codim: 3, face: 284/421, weights: [0, 1, 1, 0, 0, 1, 0], discriminant: 1
codim: 3, face: 285/421, weights: [-1, -1, -1, -2, -2, 0, -2], discriminant: 1
codim: 3, face: 286/421, weights: [-1, -1, 0, -2, -2, -1, -2], discriminant: 1
codim: 3, face: 287/421, weights: [0, 0, 1, -1, -1, 1, -1], discriminant: 1
codim: 3, face: 288/421, weights: [-1, 0, -1, -2, -2, -1, -2], discriminant: 1
codim: 3, face: 289/421, weights: [0, 1, 0, -1, -1, 1, -1], discriminant: 1
codim: 3, face: 290/421, weights: [0, 1, 1, -1, -1, 0, -1], discriminant: 1
codim: 3, face: 291/421, weights: [-1, -1, -1, -3, -2, -1, -2], discriminant: 1
codim: 3, face: 292/421, weights: [0, 0, 0, -2, -1, 1, -1], discriminant: 1
codim: 3, face: 293/421, weights: [0, 0, 1, -2, -1, 0, -1], discriminant: 1
codim: 3, face: 294/421, weights: [0, 1, 0, -2, -1, 0, -1], discriminant: 1
codim: 3, face: 295/421, weights: [-1, -1, -1, -2, -3, -1, -2], discriminant: 1
codim: 3, face: 296/421, weights: [0, 0, 0, -1, -2, 1, -1], discriminant: 1
codim: 3, face: 297/421, weights: [0, 0, 1, -1, -2, 0, -1], discriminant: 1
codim: 3, face: 298/421, weights: [0, 1, 0, -1, -2, 0, -1], discriminant: 1
codim: 3, face: 299/421, weights: [0, 0, 0, -2, -2, 0, 0], discriminant: 1
codim: 3, face: 300/421, weights: [0, 1, 1, 0, 1, 0, 0], discriminant: m1^2 - 2*m1*m4 - 2*m1*t + m4^2 - 2*m4*t + t^2
codim: 3, face: 301/421, weights: [0, 1, 1, 0, 0, -1, 0], discriminant: m4
codim: 3, face: 302/421, weights: [-1, -1, -1, -2, -1, -2, -1], discriminant: 1
codim: 3, face: 303/421, weights: [0, 0, 0, -1, 0, -1, 1], discriminant: 1
codim: 3, face: 304/421, weights: [0, 0, 0, -1, 1, -1, 0], discriminant: 1
codim: 3, face: 305/421, weights: [0, 0, 1, -1, 0, -1, 0], discriminant: 1
codim: 3, face: 306/421, weights: [0, 1, 0, -1, 0, -1, 0], discriminant: 1
codim: 3, face: 307/421, weights: [-1, -1, 1, 0, 0, 0, -2], discriminant: 1
codim: 3, face: 308/421, weights: [0, 1, 1, 0, 0, 0, -1], discriminant: m1^2 - 2*m1*m4 - 2*m1*t + m4^2 - 2*m4*t + t^2
codim: 3, face: 309/421, weights: [-1, -1, 0, -1, -1, -1, -2], discriminant: m1, m4
codim: 3, face: 310/421, weights: [0, 0, 1, 0, 0, 1, -1], discriminant: 1
codim: 3, face: 311/421, weights: [-1, -1, -1, -2, -2, -1, -3], discriminant: 1
codim: 3, face: 312/421, weights: [0, 0, 0, -1, -1, 1, -2], discriminant: 1
codim: 3, face: 313/421, weights: [0, 0, 1, -1, -1, 0, -2], discriminant: 1
codim: 3, face: 314/421, weights: [0, 1, 0, -1, -1, 0, -2], discriminant: 1
